"year","month","day","reason"
2019,01,01,"New Years Day"
2019,01,21,"Martin Luther King, Jr. Day"
2019,02,18,"Washington's Birthday"
2019,04,19,"Good Friday"
2019,05,27,"Memorial Day"
2019,07,04,"US Independence Day"
2019,09,02,"US Labor Day"
2019,11,28,"Thanksgiving Day"
2019,12,25,"Christmas"
2020,01,01,"New Years Day"
2020,01,20,"Martin Luther King, Jr. Day"
2020,02,17,"Washington's Birthday"
2020,04,10,"Good Friday"
2020,05,25,"Memorial Day"
2020,07,03,"US Independence Day"
2020,09,07,"US Labor Day"
2020,11,26,"Thanksgiving Day"
2020,12,25,"Christmas"
2021,01,01,"New Years Day"
2021,01,18,"Martin Luther King, Jr. Day"
2021,02,15,"Washington's Birthday"
2021,04,02,"Good Friday"
2021,05,31,"Memorial Day"
2021,07,05,"US Independence Day"
2021,09,06,"US Labor Day"
2021,11,25,"Thanksgiving Day"
2021,12,24,"Christmas"
