Symbol|Issue_Name|Primary_Listing_Mkt
000001|Ping An Bank Company Ltd|SHE
000002|China Vanke Company., Ltd|SHE
000004|Shenzhen Cau Technology Company., Ltd|SHE
000005|Shenzhen Fountain Corp|SHE
000006|Shenzhen Zhenye Group Company Ltd|SHE
000007|ShenZhen Zero-Seven Company Ltd|SHE
000008|Baolilai Investment Company Ltd Guangdong|SHE
000009|China Baoan Group Company.,Ltd|SHE
000010|Beijing Shenhuaxin Company Ltd|SHE
000011|Shenzhen Properties & Resources Develop.|SHE
000012|CSG Holding Company., Ltd|SHE
000014|Shahe Industry Company Ltd|SHE
000015|Shenzhen Zhonghao(Group)Company., Ltd|SHE
000016|Konka Group Company., Ltd|SHE
000017|Shenzhen China Bicycle Company Holdings Ltd|SHE
000018|Shenzhen Victor Onward Textile Ind. Company.,|SHE
000019|Shenzhen Shenbao Industrial Company., Ltd|SHE
000020|Shenzhen Zhongheng Huafa Company., Ltd|SHE
000021|Shenzhen Kaifa Technology Company., Ltd|SHE
000022|Shenzhen Chiwan Wharf Holdings Ltd|SHE
000023|Shenzhen Universe Group Company Ltd|SHE
000024|China Merchants Property Development Company.,Ltd|SHE
000025|Shenzhen Tellus Holding Company., Ltd|SHE
000026|Fiyta Holdings Ltd|SHE
000027|Shenzhen Energy Group Company., Ltd|SHE
000028|China National Accord Medicines Corp Ltd|SHE
000029|Shenzhen Special Ecn Zn Rl Est Gr Company Ltd|SHE
000030|FAWER Automotive Parts Ltd Company|SHE
000031|COFCO Property (Group) Company., Ltd|SHE
000032|Shenzhen Sed Industry Company., Ltd|SHE
000033|Shenzhen Century Plaza Hotel Company., Ltd|SHE
000034|Shenzhen Shenxin Taifeng Group Company.,Ltd|SHE
000035|China Kejian Company Ltd|SHE
000036|China Union Holdings Ltd|SHE
000037|Shenzhen Nanshan Power Company., Ltd|SHE
000038|Shenzhen Capstone Industrial Company., Ltd|SHE
000039|China International Marine Cntnrs Gp Ltd|SHE
000040|BaoAn Hongji Real Estate Group Company Ltd|SHE
000042|Shenzhen Changcheng Investment Holding|SHE
000043|Avic Real Estate Holding Company Ltd|SHE
000045|Shenzhen Textile (Holdings) Company., Ltd|SHE
000046|Oceanwide Real Estate Group Company Ltd|SHE
000048|ShenZhen Kondarl Group Company Ltd|SHE
000049|Shenzhen Desay Battery Tech Company., Ltd|SHE
000050|Tianma Microelectronics Company., Ltd|SHE
000055|China Fangda Group Company., Ltd|SHE
000056|Shenzhen International Enterprise Company Ltd|SHE
000058|Shenzhen Seg Company., Ltd|SHE
000059|Liaoning Huajin Tongda Chemicals Company. Ltd|SHE
000060|Shenzhen Zhongjin Lingnan Nfmt Company Ltd|SHE
000061|Shenzhen Agricultural Products Company., Ltd|SHE
000062|Shenzhen Huaqiang Industry Company., Ltd|SHE
000063|ZTE Corp|SHE
000065|Norinco International Company Ltd|SHE
000066|China Greatwall Computer Shenzhen Company|SHE
000068|Shenzhen Huakong Seg Company Ltd|SHE
000069|Shenzhen Overseas Chinese Town Company., Ltd|SHE
000070|Shenzhen SDG Information Company., Ltd|SHE
000078|Shenzhen Neptunus Bioengineering Company. Ltd|SHE
000088|Shenzhen Yan Tian Port Holdings Company. Ltd|SHE
000089|Shenzhen Airport Company Ltd|SHE
000090|Shenzhen Tonge (Group) Company., Ltd|SHE
000096|Shenzhen Guangju Energy Company., Ltd|SHE
000099|CITIC Offshore Helicopter Company., Ltd|SHE
000100|TCL Corp|SHE
000150|Yihua Real Estate Company.,Ltd|SHE
000151|China National Complete Import & Export|SHE
000153|Anhui Fengyuan Pharmaceutical Company., Ltd|SHE
000155|Sichuan Chemical Company Ltd|SHE
000156|Wasu Media Holding Company Ltd|SHE
000157|Zoomlion Heavy Industry Science and Technology Company Ltd|SHE
000158|Shijiazhuang Changshan Textile Company., Ltd|SHE
000159|Xinjiang International Industry Company., Ltd|SHE
000166|Shenwan Hongyuan Group Company Ltd|SHE
000301|Jiangsu Wujiang China Eastern Silk Mkt|SHE
000333|Midea Group Company Ltd|SHE
000338|Weichai Power Company., Ltd|SHE
000400|XJ Electric Company., Ltd|SHE
000401|Tangshan Jidong Cement Company., Ltd|SHE
000402|Financial Street Holding Company., Ltd|SHE
000403|Zhenxing Biopharmaceutical Chemical Inc|SHE
000404|Huayi Compressor Company., Ltd|SHE
000407|Shandong Shengli Company., Ltd|SHE
000408|JinGuyuan Holding Company Ltd|SHE
000409|Taifu Industry Company Ltd|SHE
000410|Shenyang Machine Tool Company. Ltd|SHE
000411|Zhejiang International Group Company Ltd|SHE
000413|Shijiazhuang Baoshi Electronic Glass Company|SHE
000415|Bohai Leasing Company Ltd|SHE
000416|Qingdao Huaxin Industry Company.,Ltd|SHE
000417|Hefei Department Store Group Company., Ltd|SHE
000418|Wuxi Little Swan Company Ltd|SHE
000419|Changsha Tongcheng Holdings Company., Ltd|SHE
000420|Jilin Chemical Fibre Company., Ltd|SHE
000421|Nanjing Zhongbei (Group) Company.,Ltd|SHE
000422|Hubei Yihua Chemical Industry Company., Ltd|SHE
000423|Shan Dong Dong-E E-Jiao Company., Ltd|SHE
000425|XCMG Construction Machinery Company Ltd|SHE
000426|Inner Mongolia Xingye Mining Company Ltd|SHE
000428|HUATIAN HOTEL GROUP CO.,LTD.|SHE
000429|Guangdong Provincial Expressway Develop.|SHE
000430|Zhang Jia Jie Tourism Group Company Ltd|SHE
000488|Shandong Chenming Paper Holdings Ltd|SHE
000498|Shandong Hi-Speed Road&Bridge Company Ltd|SHE
000501|Wuhan Department Store Group Company. Ltd|SHE
000502|Lvjing Holding Company Ltd|SHE
000503|Searainbow Holding Corp|SHE
000504|Beijing CCID Media Investments Company., Ltd|SHE
000505|Hainan Pearl River Holdings Company., Ltd|SHE
000506|Zhongrun Resources Investment Corp|SHE
000507|Zhuhai Port Company Ltd|SHE
000509|Huasu Holdings Company Ltd|SHE
000510|Sichuan Jinlu Group Company., Ltd|SHE
000511|ShenYang Ingenious Development Company., Ltd|SHE
000513|Livzon Pharmaceutical Group Inc|SHE
000514|Chongqing Yukaifa Company.,Ltd|SHE
000515|Chongqing Titanium Industry Company.,Ltd.of Pangang Group|SHE
000516|Xian Kaiyuan Holding Group Company., Ltd|SHE
000517|Rongan Property Company Ltd|SHE
000518|Jiangsu Sihuan Bioengineering Company., Ltd|SHE
000519|Hunan Jiangnan Red Arrow Company Ltd|SHE
000520|Chang Jiang Shipping Group Phoenix Company|SHE
000521|Hefei Meiling Company., Ltd|SHE
000522|Guangzhou Baiyunshan Pharmaceutical Company.,Ltd|SHE
000523|Lonkey Industrial Company., Ltd., Guangzhou|SHE
000524|Guangzhou Dong Fang Hotel Company., Ltd|SHE
000525|Nanjing Red Sun Company Ltd|SHE
000526|Xiamen Insight Investment Company Ltd|SHE
000527|Gd Midea Holding Company.,Ltd|SHE
000528|Guangxi Liugong Machinery Company., Ltd|SHE
000529|Guangdong Guanghong Holdings Company Ltd|SHE
000530|Dalian Refrigeration Company. , Ltd|SHE
000531|Guangzhou Hengyun Enterprises Holding|SHE
000532|Leaguer Stock Company., Ltd|SHE
000533|Guangdong Macro Company Ltd|SHE
000534|Wedge Industrial Company Ltd|SHE
000536|CPT Technology (Group) Company Ltd|SHE
000537|Tianjin Guangyu Development Company., Ltd|SHE
000538|Yunnan Baiyao Group Company Ltd|SHE
000539|Guangdong Electric Power Development Company|SHE
000540|Zhongtian Financial Group Company Ltd|SHE
000541|Foshan Electrical and Lighting Company., Ltd|SHE
000543|Anhui Wenergy Company Ltd|SHE
000544|Central Plains Environment Protection Company Ltd|SHE
000545|Jilin Gpro Titanium Industry CoLTD|SHE
000546|Jilin Guanghua Holding Group Company.,Ltd|SHE
000547|Chinascholars Group Company.,Ltd|SHE
000548|Hunan Investment Group Company., Ltd|SHE
000550|Jiangling Motors Corporation, Ltd|SHE
000551|CREATE TECHNOLOGY & SCIENCE CO., LTD.|SHE
000552|Gansu Jngyn Coal Inds & Elctr Pwr Company Ltd|SHE
000553|Hubei Sanonda Company., Ltd|SHE
000554|Sinopec Shandong Taishan Petrolum Company Ltd|SHE
000555|Shenzhen Techo Telcom., Ltd|SHE
000557|Ningxia Western Venture Industrial Company Ltd|SHE
000558|Lander Real Estate Company., Ltd|SHE
000559|Wanxiang Qianchao Company., Ltd|SHE
000560|Kunming Sinobright (Group) Company.,Ltd|SHE
000561|Shaanxi Fenghuo Electronics Company Ltd|SHE
000562|Hong Yuan Securities Company.,Ltd|SHE
000563|Shaanxi International Trust Company.,Ltd|SHE
000564|XI'AN MINSHENG GROUP CO., LTD.|SHE
000565|Chongqing Sanxia Paints Company., Ltd|SHE
